[libfx_5.py:464 / 20190731_175504]
fname_Src_Csv	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.[SLICE-50].csv
dpath_Src_Csv	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw


[libfx_5.py:643 / 20190731_175504] len(lo_Pos_Target)	23
total	39
ratio	0.590
cntOf_SLs	17 (0.739)
cntOf_TPs	6 (0.261)

sumOf_SLs	-1.380
sumOf_TPs	0.417
ratio (TP/SL)	-0.302
valOf_SL	0.020
valOf_TP	0.050
valOf_SPREAD	0.010

st_idx	st_pr	cu_idx	cu_pr	e0.price_High	e0.price_Low	exit	diff.price
1	10	79.341	10	79.340	79.347	79.298	STATUS_POS_EXIT__SL	-0.043
2	12	79.309	12	79.309	79.314	79.243	STATUS_POS_EXIT__SL	-0.066
3	13	79.274	14	79.306	79.332	79.270	STATUS_POS_EXIT__SL	-0.004
4	16	79.296	16	79.296	79.357	79.259	STATUS_POS_EXIT__TP	0.061
5	17	79.256	17	79.256	79.256	78.704	STATUS_POS_EXIT__SL	-0.552
6	18	78.808	18	78.808	78.808	78.683	STATUS_POS_EXIT__SL	-0.125
7	19	78.749	19	78.749	78.750	78.598	STATUS_POS_EXIT__SL	-0.151
8	20	78.644	20	78.644	78.710	78.606	STATUS_POS_EXIT__TP	0.066
9	21	78.689	21	78.691	78.707	78.642	STATUS_POS_EXIT__SL	-0.047
10	23	78.694	23	78.694	78.694	78.610	STATUS_POS_EXIT__SL	-0.084
11	24	78.666	24	78.666	78.666	78.606	STATUS_POS_EXIT__SL	-0.060
12	25	78.644	25	78.644	78.650	78.584	STATUS_POS_EXIT__SL	-0.060
13	26	78.586	26	78.586	78.606	78.495	STATUS_POS_EXIT__SL	-0.091
14	27	78.503	27	78.503	78.565	78.499	STATUS_POS_EXIT__TP	0.062
15	28	78.555	34	78.650	78.651	78.574	STATUS_POS_EXIT__SL	0.019
16	36	78.578	36	78.578	78.585	78.538	STATUS_POS_EXIT__SL	-0.040
17	37	78.550	37	78.550	78.630	78.545	STATUS_POS_EXIT__TP	0.080
18	38	78.624	38	78.624	78.634	78.567	STATUS_POS_EXIT__SL	-0.057
19	39	78.579	39	78.579	78.641	78.548	STATUS_POS_EXIT__TP	0.062
20	40	78.634	40	78.634	78.720	78.604	STATUS_POS_EXIT__TP	0.086
21	41	78.714	41	78.714	78.750	78.683	STATUS_POS_EXIT__SL	-0.031
22	42	78.695	42	78.704	78.725	78.632	STATUS_POS_EXIT__SL	-0.063
23	44	78.686	47	78.797	78.804	78.761	STATUS_POS_EXIT__SL	0.075


